# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1664954603.752734661102295,0.00464,0.00038,0.00001,0.00217,0.00459,0.00248,0.01426
1664954603.852731704711914,0.00532,0.00035,0.00002,0.00159,0.00036,0.00253,0.01017
1664954603.952730894088745,0.00447,0.00034,0.00006,0.00166,0.00032,0.00223,0.00908
1664954604.052724123001099,0.00471,0.00041,0.00003,0.00163,0.00102,0.00330,0.01109
1664954604.152727365493774,0.00525,0.00037,0.00002,0.00174,0.00013,0.00243,0.00993
1664954604.252734661102295,0.00573,0.00041,0.00065,0.00172,0.00041,0.00251,0.01143
1664954604.352752685546875,0.00395,0.00036,0.00130,0.00170,0.00379,0.00326,0.01436
1664954604.452756643295288,0.00491,0.00043,0.00003,0.00202,0.00003,0.00240,0.00983
1664954604.552754163742065,0.00893,0.00036,0.00017,0.00293,0.00000,0.00296,0.01535
1664954604.652753829956055,0.00462,0.00033,0.00055,0.00129,0.00002,0.00230,0.00911
1664954604.752754449844360,0.00704,0.00033,0.00057,0.00106,0.00010,0.00245,0.01154
1664954604.852744102478027,0.00871,0.00092,0.00122,0.00158,0.00028,0.00238,0.01509
1664954604.952727317810059,0.00732,0.00041,0.00184,0.00069,0.00262,0.00251,0.01540
1664954605.052721977233887,0.00697,0.00033,0.00034,0.00088,0.00034,0.00237,0.01123
1664954605.152711629867554,0.00677,0.00034,0.00051,0.00064,0.00085,0.00260,0.01173
1664954605.252729177474976,0.01021,0.00034,0.00059,0.00052,0.00000,0.00237,0.01403
1664954605.352696657180786,0.00507,0.00031,0.00068,0.00042,0.00009,0.00246,0.00904
1664954605.452688455581665,0.00903,0.00033,0.00056,0.00040,0.00068,0.00251,0.01352
1664954605.552689552307129,0.00428,0.00032,0.00051,0.00040,0.00088,0.00214,0.00854
1664954605.652690649032593,0.00585,0.00050,0.00073,0.00089,0.00108,0.00287,0.01194
1664954605.752696037292480,0.00833,0.00036,0.00093,0.00073,0.00000,0.00247,0.01282
1664954605.852688550949097,0.00828,0.00030,0.00037,0.00070,0.00099,0.00235,0.01299
1664954605.952668905258179,0.00453,0.00039,0.00092,0.00075,0.00187,0.00279,0.01125
1664954606.052674055099487,0.00546,0.00057,0.00176,0.00147,0.00000,0.00250,0.01177
1664954606.152689218521118,0.00419,0.00031,0.00083,0.00081,0.00431,0.00269,0.01315
1664954606.252688407897949,0.00693,0.00037,0.00033,0.00143,0.00074,0.00214,0.01195
1664954606.352707147598267,0.00777,0.00033,0.00019,0.00160,0.00432,0.00241,0.01662
1664954606.452707290649414,0.00479,0.00050,0.00153,0.00216,0.00000,0.00327,0.01225
1664954606.552704334259033,0.00458,0.00033,0.00049,0.00224,0.00832,0.00261,0.01858
1664954606.652706146240234,0.00400,0.00034,0.00020,0.00211,0.00036,0.00249,0.00950
1664954606.752705812454224,0.00446,0.00037,0.00099,0.00238,0.00026,0.00263,0.01109
1664954606.852708339691162,0.00616,0.00060,0.00118,0.00510,0.00276,0.00266,0.01846
1664954606.952707529067993,0.00411,0.00035,0.00041,0.00241,0.00198,0.00279,0.01205
1664954607.052701950073242,0.00563,0.00035,0.00031,0.00249,0.00005,0.00235,0.01118
1664954607.152701854705811,0.00868,0.00051,0.00002,0.00308,0.00024,0.00241,0.01494
1664954607.252696275711060,0.00487,0.00037,0.00022,0.00496,0.00028,0.00288,0.01357
1664954607.352696418762207,0.00460,0.00035,0.00105,0.00236,0.00240,0.00365,0.01441
1664954607.452699899673462,0.00441,0.00034,0.00058,0.00417,0.00567,0.00229,0.01746
1664954607.552707672119141,0.00398,0.00037,0.00071,0.00277,0.00023,0.00280,0.01086
1664954607.652714490890503,0.00471,0.00051,0.00048,0.00270,0.00000,0.00310,0.01150
1664954607.752709627151489,0.00634,0.00040,0.00133,0.00266,0.00121,0.00215,0.01408
1664954607.852716684341431,0.00478,0.00036,0.00072,0.00236,0.00064,0.00367,0.01253
1664954607.952713727951050,0.00581,0.00036,0.00039,0.00230,0.00487,0.00239,0.01611
1664954608.052709817886353,0.00595,0.00055,0.00069,0.00238,0.00031,0.00449,0.01436
1664954608.152695417404175,0.00719,0.00037,0.00053,0.00213,0.00092,0.00341,0.01455
1664954608.252705335617065,0.00637,0.00097,0.00018,0.00245,0.00593,0.00227,0.01816
1664954608.352710247039795,0.00417,0.00040,0.00073,0.00302,0.00034,0.00274,0.01140
1664954608.452715635299683,0.00549,0.00040,0.00038,0.00202,0.00000,0.00215,0.01045
